姓よみ,名よみ,姓,名
あいじょう,れんたろう,愛城,恋太郎
はなぞの,はかり,花園,羽香里
いんだ,からね,院田,唐音
よしもと,しずか,好本,静
えいあい,なの,栄逢,凪乃
やくぜん,くすり,薬膳,楠莉
はなぞの,ははり,花園,羽々里
はらが,くるみ,原賀,胡桃
めいど,めい,銘戸,芽衣
すとう,いく,須藤,育
うつくしすぎ,みみみ,美杉,美々美
かくれ,めめ,華暮,愛々
いいん,ちよ,伊院,知与
やまと,なでしこ,大和,撫子
やさしき,やまめ,優敷 ,山女
もみ,もみじ,茂見,紅葉
やくぜん,やく,薬膳,ヤク
とろとろ,きしか,土呂瀞,騎士華
けだるい,あーしー,毛樽井,亜愛子衣
なかじ,うと,中二,詩人
めいど,まい,女井戸,妹
ぼんのうじ,ももは,盆能寺,百八
ばいお,りん,灰尾,凛
ひふみ,すう,一二三,数
かほ,えいら,火保,エイラ
ねこなり,たま,猫成,珠
さいき,ひめか,才奇,姫歌
でい,まつり,出井,祭李
うさみ,しいな,宇佐美,椎奈
ぜつぼうだ,める,雪房田,夢留
ともがら,さき,輩,先
ねむい,ねむ,根向井,寧夢
はす,はすは,端須,蓮葉
もりきた,きまり,守北,季鞠
ふたて,える,双天,彗流
